,总价,建筑面积,室,厅,卫,y_pred
418,56.5,62.0,2.0,2.0,1.0,57.28464973112055
419,89.0,115.1,2.0,2.0,1.0,110.89661706688004
420,42.0,53.0,2.0,1.0,1.0,46.410343699761505
421,53.9,65.2,2.0,1.0,1.0,58.727970846583844
422,78.0,100.0,2.0,2.0,1.0,95.65102936876389
423,137.0,109.78,3.0,2.0,1.0,109.8199687844315
424,90.0,83.0,2.0,2.0,1.0,78.48712268876554
425,74.8,79.93,2.0,2.0,1.0,75.38752307067173
426,88.8,90.0,2.0,1.0,1.0,83.76708176799318
427,240.0,142.0,4.0,3.0,2.0,165.3671389441546
428,360.0,177.0,4.0,2.0,2.0,198.91706196690888
429,150.0,122.75,3.0,2.0,2.0,139.84936195950445
430,75.0,103.69,2.0,2.0,1.0,99.37660675989292
431,86.0,58.0,2.0,1.0,1.0,51.45855154681984
432,33.0,43.0,1.0,1.0,1.0,32.019283138823326
433,160.0,133.0,3.0,2.0,1.0,133.2638460261704
434,88.0,85.1,2.0,2.0,1.0,80.60736998453004
435,82.0,77.0,2.0,1.0,1.0,70.64174136564151
436,95.0,87.15,2.0,2.0,1.0,82.67713520182397
437,41.8,42.0,1.0,1.0,1.0,31.00964156941167
438,165.0,111.22,2.0,2.0,1.0,106.97920777756278
439,86.0,98.95,2.0,2.0,1.0,94.59090572088164
440,133.0,150.0,3.0,2.0,2.0,167.36209472597236
441,116.0,141.0,4.0,2.0,1.0,145.63562344828523
442,270.0,282.0,4.0,2.0,3.0,321.8637687749375
443,109.0,93.97,2.0,2.0,1.0,89.56289070521153
444,122.0,120.0,2.0,2.0,2.0,132.77820277680087
445,78.0,107.05,2.0,2.0,1.0,102.76900243311613
446,78.0,90.0,2.0,2.0,1.0,85.55461367464721
447,90.0,108.0,2.0,2.0,1.0,103.72816192405722
448,48.0,59.34,2.0,1.0,1.0,52.81147124983148
449,97.8,95.0,2.0,2.0,1.0,90.60282152170555
450,80.0,87.3,2.0,1.0,1.0,81.04104953058169
451,188.0,160.0,4.0,2.0,2.0,181.75315528691053
452,148.0,105.0,3.0,2.0,1.0,104.99388208264372
453,78.8,82.0,2.0,2.0,1.0,77.47748111935388
454,126.0,150.28,3.0,2.0,2.0,167.64479436540762
455,142.0,143.58,3.0,2.0,2.0,160.88019585034948
456,60.0,64.12,2.0,1.0,1.0,57.63755795161924
457,39.0,52.0,1.0,1.0,1.0,41.10605726352833
458,27.0,36.0,1.0,1.0,1.0,24.951792152941678
459,105.0,91.44,2.0,2.0,1.0,87.00849753460001
460,145.0,128.01,3.0,2.0,2.0,145.1600766146098
461,55.6,50.0,2.0,1.0,1.0,43.3814189915265
462,88.0,106.0,2.0,1.0,1.0,99.92134687857985
463,66.0,60.0,1.0,1.0,1.0,49.18318981882166
464,96.0,88.42,2.0,2.0,1.0,83.95937999497679
465,64.0,80.0,2.0,2.0,1.0,75.45819798053054
466,127.0,145.0,3.0,2.0,2.0,162.31388687891405
467,79.5,99.0,2.0,2.0,1.0,94.64138779935222
468,92.0,112.5,2.0,2.0,1.0,108.27154898640971
469,239.0,67.2,2.0,1.0,1.0,60.74725398540718
470,99.0,93.73,2.0,2.0,1.0,89.32057672855274
471,115.0,89.0,2.0,2.0,1.0,84.54497210523554
472,97.0,87.6,2.0,2.0,1.0,83.1314739080592
473,61.5,55.0,1.0,1.0,1.0,44.13498197176333
474,44.8,55.0,2.0,1.0,1.0,48.42962683858484
475,45.0,48.24,1.0,1.0,1.0,37.309804962540454
476,335.0,289.0,4.0,2.0,2.0,311.9969177410155
477,72.8,82.0,2.0,2.0,1.0,77.47748111935388
478,92.0,64.0,2.0,1.0,1.0,57.51640096328984
479,50.0,60.0,2.0,1.0,1.0,53.47783468564318
480,78.5,84.0,2.0,2.0,1.0,79.49676425817721
481,95.0,78.93,2.0,2.0,1.0,74.37788150126006
482,78.0,80.0,2.0,1.0,1.0,73.6706660738765
483,42.0,50.0,1.0,1.0,1.0,39.086774124705
484,95.0,110.7,3.0,2.0,1.0,110.74883902829023
485,107.0,95.0,2.0,2.0,1.0,90.60282152170555
486,48.0,51.4,1.0,1.0,1.0,40.500272321881326
487,46.0,62.0,2.0,1.0,1.0,55.497117824466514
488,183.0,165.59,3.0,2.0,1.0,166.1680647732966
489,246.0,220.0,4.0,2.0,2.0,242.33164945161053
490,585.0,240.0,4.0,3.0,3.0,281.2463547663015
491,58.0,55.0,2.0,1.0,1.0,48.42962683858484
492,92.0,101.0,2.0,2.0,1.0,96.66067093817554
493,112.0,94.0,2.0,2.0,1.0,89.59317995229388
494,89.8,74.3,2.0,1.0,1.0,67.91570912823
495,99.0,90.3,2.0,2.0,1.0,85.85750614547071
496,420.0,247.0,4.0,2.0,2.0,269.5919718257255
497,50.0,47.55,1.0,1.0,1.0,36.6131522796464
498,190.0,140.0,3.0,2.0,2.0,157.2656790318557
499,39.0,47.0,1.0,1.0,1.0,36.05784941646999
500,252.0,180.0,4.0,2.0,2.0,201.94598667514387
501,91.5,88.0,2.0,2.0,1.0,83.53533053582387
502,51.8,58.16,1.0,1.0,1.0,47.32544933110419
503,67.0,89.33,2.0,2.0,1.0,84.8781538231414
504,77.0,68.0,2.0,1.0,1.0,61.554967240936506
505,128.0,110.0,3.0,2.0,1.0,110.04208992970206
506,134.0,132.0,3.0,2.0,1.0,132.2542044567587
507,70.0,86.0,2.0,2.0,2.0,98.45038941680419
508,83.8,94.0,2.0,2.0,1.0,89.59317995229388
509,138.0,170.31,4.0,2.0,4.0,226.0312439071521
510,96.8,107.44,2.0,2.0,1.0,103.16276264518667
511,149.0,120.68,3.0,2.0,1.0,120.82506189101866
512,56.0,84.3,2.0,2.0,1.0,79.7996567290007
513,68.0,92.3,2.0,2.0,1.0,87.87678928429403
514,240.0,166.0,3.0,2.0,2.0,183.51635983655905
515,142.0,150.0,3.0,2.0,2.0,167.36209472597236
516,82.0,85.0,2.0,1.0,1.0,78.71887392093484
517,98.0,80.04,2.0,2.0,1.0,75.49858364330701
518,90.0,88.0,2.0,2.0,1.0,83.53533053582387
519,108.0,140.0,3.0,2.0,2.0,157.2656790318557
520,58.8,83.6,2.0,1.0,1.0,77.3053757237585
521,183.0,110.88,3.0,2.0,1.0,110.93057451078433
522,57.0,62.07,2.0,1.0,1.0,55.567792734325316
523,85.8,92.2,2.0,2.0,1.0,87.77582512735289
524,108.0,110.0,2.0,2.0,2.0,122.6817870826842
